;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017
1;11102809;11296587;11754436;14597304;14975439;16168924;16949306;17943007;18413350;19306445;20609381;21613601;22398396;23798032;25175543;25451480;26699464;27392791
2;10607399;11604147;12455860;12634477;15298779;15755216;17178412;17381253;18434201;18852053;19939884;20832476;22243756;23542270;24530270;26311607;26683080;28544426
3;11118760;15503571;12395388;12604786;15589101;15831070;16932145;16699082;18353686;19236528;19765600;22038344;22507231;23001254;25014407;25979609;25616672;28772125
4;10677642;11489542;11970797;12457760;15295764;15708643;16730459;17303438;18413602;19630890;20702071;20682350;22406068;22747189;25170985;26417648;25749917;28334401
5;10964966;11161356;12111943;12541259;15110018;15979344;16139525;16996488;18586526;18820289;20084035;21593733;22691613;23312561;25157798;25972576;26197805;28263012
6;10649996;11133306;12122035;12760549;15013826;16135744;16815041;17583996;18333980;19339493;20720125;21484948;22701630;23357203;24763910;26571072;26544919;27639357
7;11163257;11603357;12169245;12938139;15094459;16322226;17016150;17309370;18036833;19505971;19699805;21793825;22221140;23770536;24658081;26157026;26427645;28654133
8;11100154;11689309;12091578;14531584;15064248;16360687;16229823;17574816;19030105;19189086;20691197;21625502;22513380;22368088;23728856;26066653;27194340;28263928
9;11506651;11552009;12395134;12805551;15023582;15642913;17129190;18030335;17708780;19620107;20933530;21757771;22763186;23867736;24924875;25527488;26894279;28784958
10;10700500;11697953;12401549;12507445;14977893;16047521;16650775;17638304;18302062;19285400;19790170;21653717;22832855;23883107;24345673;24323497;26824704;26924833
11;10645730;11803591;12359321;12880816;15014134;15834921;16525049;17664632;18579661;18718573;20105228;20832478;22082766;23864665;23956081;24493847;26918795;28451634
12;10742158;11230097;12070718;14597298;15505972;15588617;16494687;17529986;18435753;19843664;20221946;21738777;22971086;23672302;24586366;25055835;27384542;28384482
13;10828471;11408051;11848697;14659102;15078568;16284415;16775126;17698371;18584891;19485660;20509977;20044885;21618664;22314043;24295635;26057929;26952886;28574156
14;10944408;11590110;11839288;12725768;15006685;15904549;16928852;17359923;18562019;19146963;20200344;21389235;22348884;22842813;25252229;25740537;26937384;28691844
15;10806033;11257978;12462764;12513946;15110021;15678531;17946432;17855057;18597795;18992826;19932468;21628552;21945695;24111457;23779051;25818553;27458542;28338716
16;10683393;11305885;11971086;12594745;15193609;15857698;16631383;17976960;18054252;19500088;20189356;21439078;22325099;22898701;24041873;25998540;26374785;28958864
17;11034860;11209962;12153824;14568508;15488398;15808984;16565949;18077383;18771714;19491631;20205247;20655956;22514326;23123633;25453165;24275830;26908319;28842233
